SD N 8 BUNGKANG;;Sekolah;RFVP+C9F;RFVP+C9F;https://www.google.com/maps/place/SD+N+8+BUNGKANG/data=!4m7!3m6!1s0x31fc5d64aceea27f:0x8a961e2280604d77!8m2!3d0.8435581!4d110.4859155!16s%2Fg%2F11g6ypn2b9!19sChIJf6LurGRd_DERd01ggCIeloo?authuser=0&hl=id&rclk=1;4,0 bintang 1 Ulasan
SD N MALENGGANG;;Sekolah;QPR5+2QM;QPR5+2QM;https://www.google.com/maps/place/SD+N+MALENGGANG/data=!4m7!3m6!1s0x31fc40a0de547bab:0xf3508b28c41c0d8!8m2!3d0.7900925!4d110.709428!16s%2Fg%2F11gds4sr6m!19sChIJq3tU3qBA_DER2MBBjLIINQ8?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
SD negeri 04 Kolonorma;;Sekolah;GMRQ+342;GMRQ+342;https://www.google.com/maps/place/SD+negeri+04+Kolonorma/data=!4m7!3m6!1s0x31fdb5c80f4e3d5b:0x59a360ee34f5c5b!8m2!3d0.540142!4d110.6877651!16s%2Fg%2F11h4g34n59!19sChIJWz1OD8i1_TERW1xP4w42mgU?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
SD NEGERI 19 PERIJI;;Sekolah Dasar;JHW6+4JC, Jalan Raya Noyan Periji;0822-8009-7805;https://www.google.com/maps/place/SD+NEGERI+19+PERIJI/data=!4m7!3m6!1s0x31fc4f5b4713d021:0xa48e882bb47a980d!8m2!3d0.6453237!4d110.5615285!16s%2Fg%2F11m_r7ny71!19sChIJIdATR1tP_DERDZh6tCuIjqQ?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
CAPDIKPORA BEDUAI;;Sekolah;P98R+7W5;;https://www.google.com/maps/place/CAPDIKPORA+BEDUAI/data=!4m7!3m6!1s0x31fc59fc554a4ab9:0xefbe49fcdb59b94d!8m2!3d0.7156413!4d110.3923668!16s%2Fg%2F11j794hf5c!19sChIJuUpKVfxZ_DERTblZ2_xJvu8?authuser=0&hl=id&rclk=1;
SD Negeri 1 Noyan;;Sekolah;QH7H+VPV;;https://www.google.com/maps/place/SD+Negeri+1+Noyan/data=!4m7!3m6!1s0x31fc4525d7f0dd2d:0x8e1f6f8a5bad766c!8m2!3d0.7647334!4d110.5792866!16s%2Fg%2F11ff5d9dcp!19sChIJLd3w1yVF_DERbHatW4pvH44?authuser=0&hl=id&rclk=1;3,5 bintang 2 Ulasan
SD NEGERI 13 ENGKASAN;;Sekolah Dasar;G69V+442;G69V+442;https://www.google.com/maps/place/SD+NEGERI+13+ENGKASAN/data=!4m7!3m6!1s0x31fd0100797afe01:0xc5805f76eaed8cca!8m2!3d0.5170284!4d110.2429864!16s%2Fg%2F11vqp8g94y!19sChIJAf56eQAB_TERyozt6nZfgMU?authuser=0&hl=id&rclk=1;
SD NEGERI 23 UPE;;Sekolah;9GCC+6WF;;https://www.google.com/maps/place/SD+NEGERI+23+UPE/data=!4m7!3m6!1s0x31fdbbfa1e02f0b3:0x588a3669aa049ffa!8m2!3d0.370564!4d110.5222946!16s%2Fg%2F11gmtl98k6!19sChIJs_ACHvq7_TER-p8Eqmk2ilg?authuser=0&hl=id&rclk=1;
SDN 13 TRans Sui Dangin;;Sekolah;P933+CJ9;;https://www.google.com/maps/place/SDN+13+TRans+Sui+Dangin/data=!4m7!3m6!1s0x31fc57f621f89899:0x487d2475f3e10626!8m2!3d0.703538!4d110.3541222!16s%2Fg%2F11g1dxj5tn!19sChIJmZj4IfZX_DERJgbh83UkfUg?authuser=0&hl=id&rclk=1;
SD Negeri 24 Senajam;;Sekolah Dasar;H849+3H8;H849+3H8;https://www.google.com/maps/place/SD+Negeri+24+Senajam/data=!4m7!3m6!1s0x31fd01f9785555e5:0x4228845b446f5f9d!8m2!3d0.5551671!4d110.3189662!16s%2Fg%2F11t0366jg3!19sChIJ5VVVePkB_TERnV9vRFuEKEI?authuser=0&hl=id&rclk=1;
